School,Term,Code,Title,Instructor
Cornell University,SP22,AAS 1100,Introduction to Asian American Studies,Derek Chang (dsc37)
Cornell University,SP22,AAS 2620,Introduction to Asian American Literature,Sunn Wong (ssw6)
Cornell University,SP22,AAS 3030,Asians in the Americas: A Comparative Perspective,Viranjini Munasinghe (vpm1)
Cornell University,SP22,AAS 4020,U.S. Cultures of War and Empire,Christine Balance (cbb84)
Cornell University,SP22,AAS 4550,Race and the University,Derek Chang (dsc37)
Cornell University,SP22,AAS 4950,Independent Study,Sunn Wong (ssw6)
Cornell University,SP22,AAS 6020,U.S. Cultures of War and Empire,Christine Balance (cbb84)
Cornell University,SP22,AEM 1200,Introduction to Business Management,Stephen Sauer (sjs46)
Cornell University,SP22,AEM 1500,An Introduction to the Economics of Environmental and Natural Resources,Catherine Kling (clk228)
Cornell University,SP22,AEM 2000,Contemporary Controversies in the Global Economy,Chris Barrett (cbb2)
Cornell University,SP22,AEM 2010,Spreadsheet Modeling for Management and Economics,
Cornell University,SP22,AEM 2015,The Business Case for Diversity and Inclusion,
Cornell University,SP22,AEM 2020,"Better Decisions for Life, Love and Money",
Cornell University,SP22,AEM 2025,Work and Well-Being,
Cornell University,SP22,AEM 2050,Introduction to Agricultural Finance,Reza Moghimi (am2393)
Cornell University,SP22,AEM 2210,Financial Accounting,Reza Moghimi (am2393)
Cornell University,SP22,AEM 2220,Foundational Perspectives and Contemporary Issues in Entrepreneurship,Jennifer Majka (jmm528)
Cornell University,SP22,AEM 2225,Financial Accounting For Dyson Majors,Suzanne Shu (sbs78)
Cornell University,SP22,AEM 2240,Finance for Dyson Majors,Laura Niemi (ln279)
Cornell University,SP22,AEM 2241,Finance,Christopher Wolf (caw364)
Cornell University,SP22,AEM 2300,International Trade and Finance,Marquise Riley (msr259)
Cornell University,SP22,AEM 2310,Business and Economics of Food,Robert Karpman (rk395)
Cornell University,SP22,AEM 2420,Marketing for Dyson Majors,Marquise Riley (msr259)
Cornell University,SP22,AEM 2480,Food and Consumer Packaged Goods Industry Dynamics,Marquise Riley (msr259)
Cornell University,SP22,AEM 2601,Strategy,Jawad Addoum (jma369)
Cornell University,SP22,AEM 2700,Management Communication,Jawad Addoum (jma369)
Cornell University,SP22,AEM 2810,The Economics of Vice and Corruption,Jawad Addoum (jma369)
Cornell University,SP22,AEM 2830,VBA for Data Analysis and Business Modeling,Rich Curtis (rtc3)
Cornell University,SP22,AEM 2840,Python Programming for Data Analysis and Business Modeling,Rich Curtis (rtc3)
Cornell University,SP22,AEM 2850,R Programming for Business Analytics and Data Visualization,Arnab Basu (ab362)
Cornell University,SP22,AEM 3000,Grand Challenges Pre-Project Immersion,Bradley Rickard (bjr83)
Cornell University,SP22,AEM 3030,Explorations in Analytic Modeling,Suzanne Shu (sbs78)
Cornell University,SP22,AEM 3040,Dairy Markets and Policy,Suzanne Shu (sbs78)
Cornell University,SP22,AEM 3060,Practitioner's Overview of Securities Markets and Asset Management,Daniel Hooker (dwh22)
Cornell University,SP22,AEM 3100,Business Statistics,Sarah Wolfolds (sew276)
Cornell University,SP22,AEM 3110,Design and Innovation,Sarah Wolfolds (sew276)
Cornell University,SP22,AEM 3120,Topics in Brand Management,Daniela Scur (ds2338)
Cornell University,SP22,AEM 3205,Ethics in Business and Organizations,Daniela Scur (ds2338)
Cornell University,SP22,AEM 3230,Managerial Accounting,Jim Stafford (jrs625)
Cornell University,SP22,AEM 3251,The Business Laboratory and New Venture Management,David Lennox (dpl29)
Cornell University,SP22,AEM 3260,Cooperative Business Management,David Lennox (dpl29)
Cornell University,SP22,AEM 3370,Corporate Financial Reporting II,James Stapp (jas926)
Cornell University,SP22,AEM 3385,Social Entrepreneurship Practicum: Anabel's Grocery,James Stapp (jas926)
Cornell University,SP22,AEM 3400,Marketing Analytics Immersion,James Stapp (jas926)
Cornell University,SP22,AEM 3520,Financial Statements Analysis,Jim Stafford (jrs625)
Cornell University,SP22,AEM 3601,"Impact Learning: Project Reflection, Completion and Presentation",Garrick Blalock (gb78)
